[INFO] 2026-02-21 15:02:09,889 autoreload Watching for file changes with StatReloader
[DEBUG] 2026-02-21 15:02:09,891 autoreload Waiting for apps ready_event.
[DEBUG] 2026-02-21 15:02:11,631 autoreload Apps ready_event triggered. Sending autoreload_started signal.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir D:\saturn v5\ecommerce-shopping-cart\ecommerce\templates with glob **/*.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\cloudinary\templates with glob **/*.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir D:\saturn v5\ecommerce-shopping-cart\ecommerce\locale with glob **/*.mo.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\cloudinary\locale with glob **/*.mo.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\cloudinary_storage\locale with glob **/*.mo.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir D:\saturn v5\ecommerce-shopping-cart\ecommerce\ecommerceapp\locale with glob **/*.mo.
[DEBUG] 2026-02-21 15:02:11,858 autoreload Watching dir D:\saturn v5\ecommerce-shopping-cart\ecommerce\authcart\locale with glob **/*.mo.
[DEBUG] 2026-02-21 15:02:12,014 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\loader.py first seen with mtime 1771248964.500229
[DEBUG] 2026-02-21 15:02:12,014 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\regex_helper.py first seen with mtime 1771248964.5430796
[DEBUG] 2026-02-21 15:02:12,015 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pprint.py first seen with mtime 1748616822.068583
